--- STARTING TRAINING (150 EPOCHS) ---
Epoch [ 87/150] | Train MSE: 0.011273 | Val MSE: 0.011686
Epoch [ 88/150] | Train MSE: 0.011198 | Val MSE: 0.012206
Epoch [ 89/150] | Train MSE: 0.011180 | Val MSE: 0.011522
Epoch [ 90/150] | Train MSE: 0.011074 | Val MSE: 0.011719
Epoch [ 91/150] | Train MSE: 0.011053 | Val MSE: 0.011545
Epoch [ 92/150] | Train MSE: 0.011002 | Val MSE: 0.011851
Epoch [ 93/150] | Train MSE: 0.010965 | Val MSE: 0.011438
Epoch [ 94/150] | Train MSE: 0.011210 | Val MSE: 0.011982
Epoch [ 95/150] | Train MSE: 0.011166 | Val MSE: 0.011508
Epoch [ 96/150] | Train MSE: 0.010997 | Val MSE: 0.011820
Epoch [ 97/150] | Train MSE: 0.011122 | Val MSE: 0.011505
Epoch [ 98/150] | Train MSE: 0.010852 | Val MSE: 0.011600
Epoch [ 99/150] | Train MSE: 0.010997 | Val MSE: 0.011725
Epoch [100/150] | Train MSE: 0.011285 | Val MSE: 0.012338
Epoch [101/150] | Train MSE: 0.011184 | Val MSE: 0.011601
Epoch [102/150] | Train MSE: 0.011020 | Val MSE: 0.011619
Epoch [103/150] | Train MSE: 0.011004 | Val MSE: 0.011548
Epoch [104/150] | Train MSE: 0.011036 | Val MSE: 0.012012
Epoch [105/150] | Train MSE: 0.011144 | Val MSE: 0.011512
Epoch [106/150] | Train MSE: 0.011209 | Val MSE: 0.011882
Epoch [107/150] | Train MSE: 0.011053 | Val MSE: 0.011595
Epoch [108/150] | Train MSE: 0.011069 | Val MSE: 0.011589
Epoch [109/150] | Train MSE: 0.010897 | Val MSE: 0.011404
Epoch [110/150] | Train MSE: 0.010921 | Val MSE: 0.011606
Epoch [111/150] | Train MSE: 0.011149 | Val MSE: 0.011689
Epoch [112/150] | Train MSE: 0.011015 | Val MSE: 0.011656
Epoch [113/150] | Train MSE: 0.010930 | Val MSE: 0.011489
Epoch [114/150] | Train MSE: 0.011097 | Val MSE: 0.011570
Epoch [115/150] | Train MSE: 0.010782 | Val MSE: 0.011388
Epoch [116/150] | Train MSE: 0.010843 | Val MSE: 0.011961
Epoch [117/150] | Train MSE: 0.011268 | Val MSE: 0.011595
Epoch [118/150] | Train MSE: 0.011031 | Val MSE: 0.011584
Epoch [119/150] | Train MSE: 0.010974 | Val MSE: 0.011533
Epoch [120/150] | Train MSE: 0.011053 | Val MSE: 0.011705
Epoch [121/150] | Train MSE: 0.010921 | Val MSE: 0.011426
Epoch [122/150] | Train MSE: 0.010909 | Val MSE: 0.011971
Epoch [123/150] | Train MSE: 0.011283 | Val MSE: 0.011854
Epoch [124/150] | Train MSE: 0.011202 | Val MSE: 0.011757
Epoch [125/150] | Train MSE: 0.010939 | Val MSE: 0.011408
Epoch [126/150] | Train MSE: 0.010782 | Val MSE: 0.011379
Epoch [127/150] | Train MSE: 0.010778 | Val MSE: 0.011645
Epoch [128/150] | Train MSE: 0.011298 | Val MSE: 0.011670
Epoch [129/150] | Train MSE: 0.010875 | Val MSE: 0.011467
Epoch [130/150] | Train MSE: 0.010755 | Val MSE: 0.011373
Epoch [131/150] | Train MSE: 0.010741 | Val MSE: 0.011391
Epoch [132/150] | Train MSE: 0.010761 | Val MSE: 0.011911
Epoch [133/150] | Train MSE: 0.011977 | Val MSE: 0.011846
Epoch [134/150] | Train MSE: 0.010957 | Val MSE: 0.011425
Epoch [135/150] | Train MSE: 0.010866 | Val MSE: 0.011485
Epoch [136/150] | Train MSE: 0.010877 | Val MSE: 0.011394
Epoch [137/150] | Train MSE: 0.010776 | Val MSE: 0.011561
Epoch [138/150] | Train MSE: 0.010752 | Val MSE: 0.011497
Epoch [139/150] | Train MSE: 0.011171 | Val MSE: 0.011684
Epoch [140/150] | Train MSE: 0.011229 | Val MSE: 0.011472
Epoch [141/150] | Train MSE: 0.010815 | Val MSE: 0.011467
Epoch [142/150] | Train MSE: 0.011068 | Val MSE: 0.011695
Epoch [143/150] | Train MSE: 0.010961 | Val MSE: 0.011503
Epoch [144/150] | Train MSE: 0.010895 | Val MSE: 0.011419
Epoch [145/150] | Train MSE: 0.010813 | Val MSE: 0.011497
Epoch [146/150] | Train MSE: 0.011063 | Val MSE: 0.012266
Epoch [147/150] | Train MSE: 0.011165 | Val MSE: 0.011409
Epoch [148/150] | Train MSE: 0.010751 | Val MSE: 0.011349
Epoch [149/150] | Train MSE: 0.010959 | Val MSE: 0.012399
Epoch [150/150] | Train MSE: 0.011197 | Val MSE: 0.011563

--- TRAINING COMPLETE ---
Best Validation MSE: 0.011349
The smartest version of the brain has been saved to 'trained_stgcn.pth'
