1. Loading Tensors and Adjacency Matrix...
2. Normalizing the Spatial Map...
3. Building DataLoaders (Batch Size: 256)...
4. Initializing STGCN Model and Optimizer...

--- STARTING TRAINING (150 EPOCHS) ---
Epoch [ 84/150] | Train MSE: 0.011051 | Val MSE: 0.011492
Epoch [ 85/150] | Train MSE: 0.010928 | Val MSE: 0.011683
Epoch [ 86/150] | Train MSE: 0.011132 | Val MSE: 0.012163
Epoch [ 87/150] | Train MSE: 0.011755 | Val MSE: 0.011757
Epoch [ 88/150] | Train MSE: 0.010939 | Val MSE: 0.011452
Epoch [ 89/150] | Train MSE: 0.010839 | Val MSE: 0.011590
Epoch [ 90/150] | Train MSE: 0.011197 | Val MSE: 0.011821
Epoch [ 91/150] | Train MSE: 0.011245 | Val MSE: 0.011744
Epoch [ 92/150] | Train MSE: 0.010958 | Val MSE: 0.011463
Epoch [ 93/150] | Train MSE: 0.011269 | Val MSE: 0.012127
Epoch [ 94/150] | Train MSE: 0.011312 | Val MSE: 0.011552
Epoch [ 95/150] | Train MSE: 0.010989 | Val MSE: 0.011555
Epoch [ 96/150] | Train MSE: 0.010969 | Val MSE: 0.011445
Epoch [ 97/150] | Train MSE: 0.010804 | Val MSE: 0.011416
Epoch [ 98/150] | Train MSE: 0.010921 | Val MSE: 0.011994
Epoch [ 99/150] | Train MSE: 0.011527 | Val MSE: 0.012112
Epoch [100/150] | Train MSE: 0.011231 | Val MSE: 0.011557
Epoch [101/150] | Train MSE: 0.010982 | Val MSE: 0.011579
Epoch [102/150] | Train MSE: 0.010886 | Val MSE: 0.011545
Epoch [103/150] | Train MSE: 0.010924 | Val MSE: 0.011724
Epoch [104/150] | Train MSE: 0.011251 | Val MSE: 0.012089
Epoch [105/150] | Train MSE: 0.011115 | Val MSE: 0.011514
Epoch [106/150] | Train MSE: 0.010878 | Val MSE: 0.011522
Epoch [107/150] | Train MSE: 0.010838 | Val MSE: 0.011497
Epoch [108/150] | Train MSE: 0.011349 | Val MSE: 0.011891
Epoch [109/150] | Train MSE: 0.010999 | Val MSE: 0.011438
Epoch [110/150] | Train MSE: 0.010898 | Val MSE: 0.011891
Epoch [111/150] | Train MSE: 0.010996 | Val MSE: 0.011590
Epoch [112/150] | Train MSE: 0.011319 | Val MSE: 0.011822
Epoch [113/150] | Train MSE: 0.011099 | Val MSE: 0.011736
Epoch [114/150] | Train MSE: 0.011034 | Val MSE: 0.011466
Epoch [115/150] | Train MSE: 0.010760 | Val MSE: 0.011424
Epoch [116/150] | Train MSE: 0.010788 | Val MSE: 0.011436
Epoch [117/150] | Train MSE: 0.011291 | Val MSE: 0.012917
Epoch [118/150] | Train MSE: 0.011245 | Val MSE: 0.011453
Epoch [119/150] | Train MSE: 0.010891 | Val MSE: 0.011578
Epoch [120/150] | Train MSE: 0.010783 | Val MSE: 0.011427
Epoch [121/150] | Train MSE: 0.010749 | Val MSE: 0.011669
Epoch [122/150] | Train MSE: 0.011009 | Val MSE: 0.012041
Epoch [123/150] | Train MSE: 0.011766 | Val MSE: 0.012548
Epoch [124/150] | Train MSE: 0.011008 | Val MSE: 0.011381
Epoch [125/150] | Train MSE: 0.010747 | Val MSE: 0.011401
Epoch [126/150] | Train MSE: 0.010751 | Val MSE: 0.011402
Epoch [127/150] | Train MSE: 0.010842 | Val MSE: 0.011512
Epoch [128/150] | Train MSE: 0.011000 | Val MSE: 0.011665
Epoch [129/150] | Train MSE: 0.011075 | Val MSE: 0.011887
Epoch [130/150] | Train MSE: 0.011313 | Val MSE: 0.011670
Epoch [131/150] | Train MSE: 0.010952 | Val MSE: 0.011515
Epoch [132/150] | Train MSE: 0.010796 | Val MSE: 0.011388
Epoch [133/150] | Train MSE: 0.010915 | Val MSE: 0.012280
Epoch [134/150] | Train MSE: 0.011369 | Val MSE: 0.011540
Epoch [135/150] | Train MSE: 0.010869 | Val MSE: 0.011523
Epoch [136/150] | Train MSE: 0.010820 | Val MSE: 0.011426
Epoch [137/150] | Train MSE: 0.010944 | Val MSE: 0.011956
Epoch [138/150] | Train MSE: 0.011184 | Val MSE: 0.011521
Epoch [139/150] | Train MSE: 0.010889 | Val MSE: 0.011456
Epoch [140/150] | Train MSE: 0.010725 | Val MSE: 0.011414
Epoch [141/150] | Train MSE: 0.011092 | Val MSE: 0.012378
Epoch [142/150] | Train MSE: 0.011347 | Val MSE: 0.011394
Epoch [143/150] | Train MSE: 0.010783 | Val MSE: 0.011376
Epoch [144/150] | Train MSE: 0.010728 | Val MSE: 0.011545
Epoch [145/150] | Train MSE: 0.010736 | Val MSE: 0.011413
Epoch [146/150] | Train MSE: 0.011088 | Val MSE: 0.011990
Epoch [147/150] | Train MSE: 0.011406 | Val MSE: 0.011515
Epoch [148/150] | Train MSE: 0.010780 | Val MSE: 0.011463
Epoch [149/150] | Train MSE: 0.010718 | Val MSE: 0.011348
Epoch [150/150] | Train MSE: 0.010845 | Val MSE: 0.011650

--- TRAINING COMPLETE ---
Best Validation MSE: 0.011348
The smartest version of the brain has been saved to 'trained_stgcn.pth'
